slug,中文名,英文名,角色,色调,色系,出处,序号,HEX,R,G,B,RGB,L*,C*,h°,白底对比度,平滑序,区分度序,色相序,明度序,色盲等级,色盲安全,深色变体,浅色变体,纸色bg,墨色ink
raiden-electro,雷电将军 · 雷紫,Raiden · Electro Violet,雷电将军,雷紫,紫,原神,1,#886CD4,136,108,212,"136,108,212",52.6,60.7,304.6,4.08,1,1,1,3,A,是,#5F47AC,#B49AEE,#F6F4FB,#372D4C
raiden-electro,雷电将军 · 雷紫,Raiden · Electro Violet,雷电将军,雷紫,紫,原神,2,#BDA5F0,189,165,240,"189,165,240",72.2,41.7,304.6,2.14,2,2,2,2,A,是,#947DC7,#E5D7FF,#F6F4FB,#372D4C
raiden-electro,雷电将军 · 雷紫,Raiden · Electro Violet,雷电将军,雷紫,紫,原神,3,#B6B2BD,182,178,189,"182,178,189",73.2,6.2,304.5,2.08,3,6,5,1,A,是,#8E8A95,#E2DFE8,#F6F4FB,#372D4C
raiden-electro,雷电将军 · 雷紫,Raiden · Electro Violet,雷电将军,雷紫,紫,原神,4,#A16D8D,161,109,141,"161,109,141",52.3,27.3,340.5,4.13,4,5,4,4,A,是,#7A4867,#C59AB4,#F6F4FB,#372D4C
raiden-electro,雷电将军 · 雷紫,Raiden · Electro Violet,雷电将军,雷紫,紫,原神,5,#5C3F8E,92,63,142,"92,63,142",33.5,50.0,307.9,8.21,5,3,3,5,A,是,#351D69,#846AAA,#F6F4FB,#372D4C
raiden-electro,雷电将军 · 雷紫,Raiden · Electro Violet,雷电将军,雷紫,紫,原神,6,#484552,72,69,82,"72,69,82",30.0,8.4,300.2,9.34,6,4,6,6,A,是,#272430,#6E6C76,#F6F4FB,#372D4C
eva01-violet-lime,初号机 · 紫萤,EVA-01 · Violet & Lime,初号机,紫萤,紫,新世纪福音战士,1,#824CC5,130,76,197,"130,76,197",44.2,72.4,310.6,5.54,1,1,5,5,A,是,#58259D,#AA7CDD,#F8F3FB,#3C2B4F
eva01-violet-lime,初号机 · 紫萤,EVA-01 · Violet & Lime,初号机,紫萤,紫,新世纪福音战士,2,#503F64,80,63,100,"80,63,100",29.9,24.7,309.5,9.39,2,3,4,6,A,是,#2D1E41,#756785,#F8F3FB,#3C2B4F
eva01-violet-lime,初号机 · 紫萤,EVA-01 · Violet & Lime,初号机,紫萤,紫,新世纪福音战士,3,#A989D6,169,137,214,"169,137,214",62.7,44.5,308.1,2.9,3,2,3,3,A,是,#8163AE,#D2B7F6,#F8F3FB,#3C2B4F
eva01-violet-lime,初号机 · 紫萤,EVA-01 · Violet & Lime,初号机,紫萤,紫,新世纪福音战士,4,#B9B4C0,185,180,192,"185,180,192",74.0,6.8,306.4,2.03,4,6,6,2,A,是,#918C98,#E5E1EB,#F8F3FB,#3C2B4F
eva01-violet-lime,初号机 · 紫萤,EVA-01 · Violet & Lime,初号机,紫萤,紫,新世纪福音战士,5,#7F8E4F,127,142,79,"127,142,79",56.5,35.5,116.7,3.57,5,5,1,4,A,是,#58682A,#ACB784,#F8F3FB,#3C2B4F
eva01-violet-lime,初号机 · 紫萤,EVA-01 · Violet & Lime,初号机,紫萤,紫,新世纪福音战士,6,#83CA20,131,202,32,"131,202,32",74.3,83.0,123.7,2.01,6,4,2,1,A,是,#609F00,#C0F478,#F8F3FB,#3C2B4F
howl-iridescent,哈尔 · 金蓝虹,Howl · Iridescent Gold,哈尔,金蓝虹,粉,哈尔的移动城堡,1,#DF72A6,223,114,166,"223,114,166",62.1,49.0,350.3,2.96,1,1,5,3,A,是,#B5497F,#FFA7CE,#FAF3F6,#482937
howl-iridescent,哈尔 · 金蓝虹,Howl · Iridescent Gold,哈尔,金蓝虹,粉,哈尔的移动城堡,2,#C0B7A5,192,183,165,"192,183,165",74.7,10.3,89.4,1.99,2,6,6,1,A,是,#988F7D,#EBE4D5,#FAF3F6,#482937
howl-iridescent,哈尔 · 金蓝虹,Howl · Iridescent Gold,哈尔,金蓝虹,粉,哈尔的移动城堡,3,#977900,151,121,0,"151,121,0",52.1,57.9,88.3,4.16,3,3,1,5,A,是,#6B5500,#C1A353,#FAF3F6,#482937
howl-iridescent,哈尔 · 金蓝虹,Howl · Iridescent Gold,哈尔,金蓝虹,粉,哈尔的移动城堡,4,#578B6C,87,139,108,"87,139,108",53.6,27.0,155.5,3.95,4,5,2,4,A,是,#316548,#8AB39A,#FAF3F6,#482937
howl-iridescent,哈尔 · 金蓝虹,Howl · Iridescent Gold,哈尔,金蓝虹,粉,哈尔的移动城堡,5,#77BDE0,119,189,224,"119,189,224",73.3,27.5,242.3,2.07,5,4,3,2,A,是,#4A95B7,#BCE7FF,#FAF3F6,#482937
howl-iridescent,哈尔 · 金蓝虹,Howl · Iridescent Gold,哈尔,金蓝虹,粉,哈尔的移动城堡,6,#346595,52,101,149,"52,101,149",41.5,31.2,268.6,6.1,6,2,4,6,A,是,#00426D,#6E8CB4,#FAF3F6,#482937
violet-evergarden,薇尔莉特 · 紫罗兰,Violet · Violet Bloom,薇尔莉特,紫罗兰,紫,紫罗兰永恒花园,1,#916F95,145,111,149,"145,111,149",51.3,25.6,322.8,4.28,1,1,5,5,B,是,#6B4A6F,#B79BBA,#F7F4F7,#392F3B
violet-evergarden,薇尔莉特 · 紫罗兰,Violet · Violet Bloom,薇尔莉特,紫罗兰,紫,紫罗兰永恒花园,2,#633373,99,51,115,"99,51,115",30.1,43.3,319.5,9.33,2,3,3,6,B,是,#3E0E4F,#865F92,#F7F4F7,#392F3B
violet-evergarden,薇尔莉特 · 紫罗兰,Violet · Violet Bloom,薇尔莉特,紫罗兰,紫,紫罗兰永恒花园,3,#3684D7,54,132,215,"54,132,215",54.2,49.6,275.1,3.86,3,5,2,4,B,是,#005FA5,#82ADF1,#F7F4F7,#392F3B
violet-evergarden,薇尔莉特 · 紫罗兰,Violet · Violet Bloom,薇尔莉特,紫罗兰,紫,紫罗兰永恒花园,4,#DBA1E7,219,161,231,"219,161,231",73.8,42.8,321.0,2.05,4,2,4,3,B,是,#B179BE,#F9D7FF,#F7F4F7,#392F3B
violet-evergarden,薇尔莉特 · 紫罗兰,Violet · Violet Bloom,薇尔莉特,紫罗兰,紫,紫罗兰永恒花园,5,#BBB6AE,187,182,174,"187,182,174",74.2,4.7,85.9,2.02,5,6,6,1,B,是,#938E86,#E7E3DC,#F7F4F7,#392F3B
violet-evergarden,薇尔莉特 · 紫罗兰,Violet · Violet Bloom,薇尔莉特,紫罗兰,紫,紫罗兰永恒花园,6,#D7B258,215,178,88,"215,178,88",74.2,50.3,86.6,2.02,6,4,1,2,B,是,#AC8A2F,#FFDF9E,#F7F4F7,#392F3B
yinlin-violetgold,吟霖 · 紫金雷,Yinlin · Violet Gold,吟霖,紫金雷,紫,鸣潮,1,#8E53BB,142,83,187,"142,83,187",46.3,63.2,313.9,5.12,1,1,3,5,A,是,#662D94,#B483D6,#F8F3FA,#3D2B4A
yinlin-violetgold,吟霖 · 紫金雷,Yinlin · Violet Gold,吟霖,紫金雷,紫,鸣潮,2,#543E64,84,62,100,"84,62,100",30.0,25.8,313.4,9.33,2,3,2,6,A,是,#311D41,#796686,#F8F3FA,#3D2B4A
yinlin-violetgold,吟霖 · 紫金雷,Yinlin · Violet Gold,吟霖,紫金雷,紫,鸣潮,3,#6E7283,110,114,131,"110,114,131",48.2,10.1,282.9,4.78,3,5,6,4,A,是,#4A4E5E,#989BA9,#F8F3FA,#3D2B4A
yinlin-violetgold,吟霖 · 紫金雷,Yinlin · Violet Gold,吟霖,紫金雷,紫,鸣潮,4,#AF8DC5,175,141,197,"175,141,197",63.5,33.6,314.0,2.82,4,2,4,3,A,是,#87669D,#D7BBE8,#F8F3FA,#3D2B4A
yinlin-violetgold,吟霖 · 紫金雷,Yinlin · Violet Gold,吟霖,紫金雷,紫,鸣潮,5,#B9B5BD,185,181,189,"185,181,189",74.2,4.6,309.2,2.02,5,6,5,2,A,是,#918D95,#E5E2E8,#F8F3FA,#3D2B4A
yinlin-violetgold,吟霖 · 紫金雷,Yinlin · Violet Gold,吟霖,紫金雷,紫,鸣潮,6,#D4B45A,212,180,90,"212,180,90",74.4,49.4,89.0,2.0,6,4,1,1,A,是,#A98C31,#FEE19A,#F8F3FA,#3D2B4A
amiya-originium,阿米娅 · 源石紫,Amiya · Originium Violet,阿米娅,源石紫,紫,明日方舟,1,#6053C0,96,83,192,"96,83,192",42.0,65.4,301.5,6.01,1,1,3,5,A,是,#323099,#907FD8,#F6F4FB,#352E4F
amiya-originium,阿米娅 · 源石紫,Amiya · Originium Violet,阿米娅,源石紫,紫,明日方舟,2,#4A4167,74,65,103,"74,65,103",30.0,24.7,302.2,9.36,2,3,4,6,A,是,#272044,#716888,#F6F4FB,#352E4F
amiya-originium,阿米娅 · 源石紫,Amiya · Originium Violet,阿米娅,源石紫,紫,明日方舟,3,#6F798A,111,121,138,"111,121,138",50.6,10.5,270.8,4.4,3,5,6,4,A,是,#4A5465,#9BA2B0,#F6F4FB,#352E4F
amiya-originium,阿米娅 · 源石紫,Amiya · Originium Violet,阿米娅,源石紫,紫,明日方舟,4,#9B91D1,155,145,209,"155,145,209",63.2,36.1,299.1,2.85,4,2,2,3,A,是,#736BA9,#C7BEF2,#F6F4FB,#352E4F
amiya-originium,阿米娅 · 源石紫,Amiya · Originium Violet,阿米娅,源石紫,紫,明日方舟,5,#B8B6C0,184,182,192,"184,182,192",74.5,5.5,298.3,2.0,5,6,5,1,A,是,#908E98,#E4E3EB,#F6F4FB,#352E4F
amiya-originium,阿米娅 · 源石紫,Amiya · Originium Violet,阿米娅,源石紫,紫,明日方舟,6,#D4B048,212,176,72,"212,176,72",73.2,56.4,88.2,2.08,6,4,1,2,A,是,#A8881B,#FFDD8C,#F6F4FB,#352E4F
nezuko-crimson-pink,祢豆子 · 绯粉,Nezuko · Crimson Pink,祢豆子,绯粉,粉,鬼灭之刃,1,#E93F6E,233,63,110,"233,63,110",54.0,68.4,11.0,3.89,1,1,1,4,C,是,#B9004A,#FF869C,#FEF2F4,#53232D
nezuko-crimson-pink,祢豆子 · 绯粉,Nezuko · Crimson Pink,祢豆子,绯粉,粉,鬼灭之刃,2,#F1A0B9,241,160,185,"241,160,185",74.4,33.4,359.2,2.01,2,2,5,2,C,是,#C77891,#FFDAE4,#FEF2F4,#53232D
nezuko-crimson-pink,祢豆子 · 绯粉,Nezuko · Crimson Pink,祢豆子,绯粉,粉,鬼灭之刃,3,#C8B4A1,200,180,161,"200,180,161",74.5,13.0,71.7,2.0,3,6,3,1,C,否,#9F8C7A,#F2E1D2,#FEF2F4,#53232D
nezuko-crimson-pink,祢豆子 · 绯粉,Nezuko · Crimson Pink,祢豆子,绯粉,粉,鬼灭之刃,4,#E4703C,228,112,60,"228,112,60",60.3,64.0,49.5,3.14,4,3,2,3,C,是,#B74815,#FFA780,#FEF2F4,#53232D
nezuko-crimson-pink,祢豆子 · 绯粉,Nezuko · Crimson Pink,祢豆子,绯粉,粉,鬼灭之刃,5,#903159,144,49,89,"144,49,89",35.7,43.8,357.0,7.58,5,4,4,5,C,是,#680037,#B0647F,#FEF2F4,#53232D
nezuko-crimson-pink,祢豆子 · 绯粉,Nezuko · Crimson Pink,祢豆子,绯粉,粉,鬼灭之刃,6,#4F4449,79,68,73,"79,68,73",30.1,5.8,347.3,9.31,6,5,6,6,C,否,#2D2328,#746B6F,#FEF2F4,#53232D
march7-sakura-ice,三月七 · 樱冰,March 7th · Sakura Ice,三月七,樱冰,粉,崩坏：星穹铁道,1,#DF81AA,223,129,170,"223,129,170",65.2,41.7,351.9,2.67,1,1,4,3,C,是,#B55983,#FFB4D3,#FAF3F6,#462B36
march7-sakura-ice,三月七 · 樱冰,March 7th · Sakura Ice,三月七,樱冰,粉,崩坏：星穹铁道,2,#A64575,166,69,117,"166,69,117",43.7,45.8,350.6,5.63,2,5,3,6,C,否,#7D1A51,#C6789B,#FAF3F6,#462B36
march7-sakura-ice,三月七 · 樱冰,March 7th · Sakura Ice,三月七,樱冰,粉,崩坏：星穹铁道,3,#8D7B82,141,123,130,"141,123,130",53.4,8.3,351.3,3.97,3,2,6,4,C,否,#67565D,#B5A6AB,#FAF3F6,#462B36
march7-sakura-ice,三月七 · 樱冰,March 7th · Sakura Ice,三月七,樱冰,粉,崩坏：星穹铁道,4,#BAB8B9,186,184,185,"186,184,185",75.0,0.9,343.7,1.97,4,6,5,1,C,否,#929091,#E6E5E5,#FAF3F6,#462B36
march7-sakura-ice,三月七 · 樱冰,March 7th · Sakura Ice,三月七,樱冰,粉,崩坏：星穹铁道,5,#78BDDD,120,189,221,"120,189,221",73.3,26.4,239.6,2.07,5,3,1,2,C,否,#4B95B4,#B9E7FF,#FAF3F6,#462B36
march7-sakura-ice,三月七 · 樱冰,March 7th · Sakura Ice,三月七,樱冰,粉,崩坏：星穹铁道,6,#3E6B9E,62,107,158,"62,107,158",44.2,32.3,271.2,5.52,6,4,2,5,C,是,#034778,#7693BD,#FAF3F6,#462B36
aerith-rose-sage,爱丽丝 · 玫粉鼠尾草,Aerith · Rose & Sage,爱丽丝,玫粉鼠尾草,粉,最终幻想VII,1,#C95B7C,201,91,124,"201,91,124",53.3,47.1,3.7,3.98,1,1,2,3,B,是,#9F3257,#E98FA6,#FBF3F5,#4A2931
aerith-rose-sage,爱丽丝 · 玫粉鼠尾草,Aerith · Rose & Sage,爱丽丝,玫粉鼠尾草,粉,最终幻想VII,2,#ECA8BA,236,168,186,"236,168,186",75.7,27.6,1.7,1.93,2,2,1,1,B,是,#C28092,#FFDFE7,#FBF3F5,#4A2931
aerith-rose-sage,爱丽丝 · 玫粉鼠尾草,Aerith · Rose & Sage,爱丽丝,玫粉鼠尾草,粉,最终幻想VII,3,#9E9698,158,150,152,"158,150,152",62.8,3.3,360.0,2.89,3,6,6,2,B,否,#777072,#C8C1C3,#FBF3F5,#4A2931
aerith-rose-sage,爱丽丝 · 玫粉鼠尾草,Aerith · Rose & Sage,爱丽丝,玫粉鼠尾草,粉,最终幻想VII,4,#408E52,64,142,82,"64,142,82",53.0,45.2,146.6,4.03,4,4,5,4,B,否,#0E672E,#7BB684,#FBF3F5,#4A2931
aerith-rose-sage,爱丽丝 · 玫粉鼠尾草,Aerith · Rose & Sage,爱丽丝,玫粉鼠尾草,粉,最终幻想VII,5,#775D4C,119,93,76,"119,93,76",41.6,16.0,60.0,6.08,5,5,4,5,B,否,#523A2A,#9D8678,#FBF3F5,#4A2931
aerith-rose-sage,爱丽丝 · 玫粉鼠尾草,Aerith · Rose & Sage,爱丽丝,玫粉鼠尾草,粉,最终幻想VII,6,#AF212B,175,33,43,"175,33,43",38.5,64.0,29.6,6.83,6,3,3,6,B,是,#790012,#CF605A,#FBF3F5,#4A2931
acheron-magenta,黄泉 · 洋红雷,Acheron · Nihility Magenta,黄泉,洋红雷,粉,崩坏：星穹铁道,1,#C93DA1,201,61,161,"201,61,161",49.9,68.8,339.5,4.5,1,1,4,4,B,是,#9D007A,#E77CC3,#FBF3F8,#4C253F
acheron-magenta,黄泉 · 洋红雷,Acheron · Nihility Magenta,黄泉,洋红雷,粉,崩坏：星穹铁道,2,#4A435C,74,67,92,"74,67,92",30.0,16.3,302.8,9.34,2,3,3,6,B,是,#282239,#706A7F,#FBF3F8,#4C253F
acheron-magenta,黄泉 · 洋红雷,Acheron · Nihility Magenta,黄泉,洋红雷,粉,崩坏：星穹铁道,3,#8C3A47,140,58,71,"140,58,71",36.1,37.4,15.0,7.47,3,6,1,5,B,是,#641226,#AD6970,#FBF3F8,#4C253F
acheron-magenta,黄泉 · 洋红雷,Acheron · Nihility Magenta,黄泉,洋红雷,粉,崩坏：星穹铁道,4,#F09ED0,240,158,208,"240,158,208",74.5,39.8,341.0,2.0,4,2,5,2,B,是,#C675A7,#FFDAEF,#FBF3F8,#4C253F
acheron-magenta,黄泉 · 洋红雷,Acheron · Nihility Magenta,黄泉,洋红雷,粉,崩坏：星穹铁道,5,#989699,152,150,153,"152,150,153",62.3,1.9,314.7,2.93,5,4,6,3,B,是,#727072,#C3C1C4,#FBF3F8,#4C253F
acheron-magenta,黄泉 · 洋红雷,Acheron · Nihility Magenta,黄泉,洋红雷,粉,崩坏：星穹铁道,6,#D8B35B,216,179,91,"216,179,91",74.6,49.3,86.4,2.0,6,5,2,1,B,是,#AD8B33,#FFE1A3,#FBF3F8,#4C253F
noface-ink-gray,无脸男 · 墨灰,No-Face · Ink Gray,无脸男,墨灰,中性,千与千寻,1,#303038,48,48,56,"48,48,56",20.2,5.4,291.5,13.08,1,1,6,6,B,是,#111019,#55545B,#F5F5F5,#323235
noface-ink-gray,无脸男 · 墨灰,No-Face · Ink Gray,无脸男,墨灰,中性,千与千寻,2,#4F4F5F,79,79,95,"79,79,95",34.1,10.0,291.9,8.03,2,2,5,5,B,否,#2D2D3C,#767684,#F5F5F5,#323235
noface-ink-gray,无脸男 · 墨灰,No-Face · Ink Gray,无脸男,墨灰,中性,千与千寻,3,#765D84,118,93,132,"118,93,132",43.3,25.3,315.1,5.72,3,6,1,4,B,否,#513A5F,#9C87A7,#F5F5F5,#323235
noface-ink-gray,无脸男 · 墨灰,No-Face · Ink Gray,无脸男,墨灰,中性,千与千寻,4,#7B7B8B,123,123,139,"123,123,139",52.1,9.3,291.3,4.16,4,3,4,3,B,是,#565665,#A5A5B2,#F5F5F5,#323235
noface-ink-gray,无脸男 · 墨灰,No-Face · Ink Gray,无脸男,墨灰,中性,千与千寻,5,#959599,149,149,153,"149,149,153",61.8,2.2,290.4,2.98,5,5,3,2,B,否,#6F6F73,#C0C0C3,#F5F5F5,#323235
noface-ink-gray,无脸男 · 墨灰,No-Face · Ink Gray,无脸男,墨灰,中性,千与千寻,6,#B6B6C5,182,182,197,"182,182,197",74.5,8.1,290.9,2.0,6,4,2,1,B,是,#8E8E9D,#E3E3EF,#F5F5F5,#323235
2b-achromatic,2B · 素墨,2B · Achromatic Ink,2B,素墨,中性,尼尔：机械纪元,1,#303035,48,48,53,"48,48,53",20.0,3.4,291.0,13.13,1,1,6,6,A,是,#111016,#545459,#F5F5F5,#323234
2b-achromatic,2B · 素墨,2B · Achromatic Ink,2B,素墨,中性,尼尔：机械纪元,2,#5A5A67,90,90,103,"90,90,103",38.7,8.0,291.4,6.79,2,2,5,5,A,是,#373744,#82828D,#F5F5F5,#323234
2b-achromatic,2B · 素墨,2B · Achromatic Ink,2B,素墨,中性,尼尔：机械纪元,3,#81818D,129,129,141,"129,129,141",54.3,6.9,291.0,3.85,3,3,4,3,A,是,#5C5C67,#ABABB5,#F5F5F5,#323234
2b-achromatic,2B · 素墨,2B · Achromatic Ink,2B,素墨,中性,尼尔：机械纪元,4,#C7C5C2,199,197,194,"199,197,194",79.6,1.8,85.1,1.72,4,4,2,1,A,是,#9E9C99,#F4F2F0,#F5F5F5,#323234
2b-achromatic,2B · 素墨,2B · Achromatic Ink,2B,素墨,中性,尼尔：机械纪元,5,#999487,153,148,135,"153,148,135",61.4,7.5,93.9,3.03,5,5,3,2,A,是,#726E61,#C3BFB4,#F5F5F5,#323234
2b-achromatic,2B · 素墨,2B · Achromatic Ink,2B,素墨,中性,尼尔：机械纪元,6,#83714F,131,113,79,"131,113,79",48.5,21.6,85.1,4.73,6,6,1,4,A,是,#5D4D2C,#AB9B7F,#F5F5F5,#323234
kakashi-silver-navy,卡卡西 · 银藏,Kakashi · Silver & Navy,卡卡西,银藏,中性,火影忍者,1,#8E98A4,142,152,164,"142,152,164",62.4,7.6,262.0,2.93,1,1,5,2,A,是,#68727D,#BBC3CD,#F4F5F6,#303336
kakashi-silver-navy,卡卡西 · 银藏,Kakashi · Silver & Navy,卡卡西,银藏,中性,火影忍者,2,#BFC1C2,191,193,194,"191,193,194",77.9,0.9,235.8,1.81,2,6,4,1,A,是,#97999A,#ECEEEF,#F4F5F6,#303336
kakashi-silver-navy,卡卡西 · 银藏,Kakashi · Silver & Navy,卡卡西,银藏,中性,火影忍者,3,#727578,114,117,120,"114,117,120",49.1,2.1,256.0,4.63,3,2,6,3,A,是,#4E5153,#9C9EA1,#F4F5F6,#303336
kakashi-silver-navy,卡卡西 · 银藏,Kakashi · Silver & Navy,卡卡西,银藏,中性,火影忍者,4,#516E90,81,110,144,"81,110,144",45.5,21.9,267.2,5.27,4,4,2,4,A,是,#2A4A6A,#8196B2,#F4F5F6,#303336
kakashi-silver-navy,卡卡西 · 银藏,Kakashi · Silver & Navy,卡卡西,银藏,中性,火影忍者,5,#3B475C,59,71,92,"59,71,92",29.9,14.0,274.0,9.37,5,3,3,6,A,是,#192639,#646D7F,#F4F5F6,#303336
kakashi-silver-navy,卡卡西 · 银藏,Kakashi · Silver & Navy,卡卡西,银藏,中性,火影忍者,6,#B14A3A,177,74,58,"177,74,58",45.0,51.0,36.6,5.37,6,5,1,5,A,是,#862218,#D37C6B,#F4F5F6,#303336
nyanko-fortune,猫咪老师 · 招财米,Nyanko-sensei · Fortune Beige,猫咪老师,招财米,中性,夏目友人帐,1,#A89263,168,146,99,"168,146,99",61.5,28.0,87.0,3.02,1,1,3,3,A,是,#806C3E,#D1BD97,#F7F5F2,#393224
nyanko-fortune,猫咪老师 · 招财米,Nyanko-sensei · Fortune Beige,猫咪老师,招财米,中性,夏目友人帐,2,#E6AD3F,230,173,63,"230,173,63",74.2,62.7,80.3,2.02,2,5,2,2,A,是,#B9850A,#FFDEAF,#F7F5F2,#393224
nyanko-fortune,猫咪老师 · 招财米,Nyanko-sensei · Fortune Beige,猫咪老师,招财米,中性,夏目友人帐,3,#BDB7AA,189,183,170,"189,183,170",74.6,7.4,91.3,2.0,3,2,4,1,A,是,#958F82,#E9E4D9,#F7F5F2,#393224
nyanko-fortune,猫咪老师 · 招财米,Nyanko-sensei · Fortune Beige,猫咪老师,招财米,中性,夏目友人帐,4,#7D7364,125,115,100,"125,115,100",48.9,9.8,83.0,4.66,4,3,5,4,A,是,#584F40,#A59C90,#F7F5F2,#393224
nyanko-fortune,猫咪老师 · 招财米,Nyanko-sensei · Fortune Beige,猫咪老师,招财米,中性,夏目友人帐,5,#4A4640,74,70,64,"74,70,64",29.9,4.2,83.9,9.37,5,6,6,6,A,是,#292520,#706C67,#F7F5F2,#393224
nyanko-fortune,猫咪老师 · 招财米,Nyanko-sensei · Fortune Beige,猫咪老师,招财米,中性,夏目友人帐,6,#BD3830,189,56,48,"189,56,48",44.0,63.4,34.1,5.57,6,4,1,5,A,是,#90000F,#DE7162,#F7F5F2,#393224
tarnished-gilded,褪色者 · 黄金暗夜,Tarnished · Gilded Nightfall,褪色者,黄金暗夜,中性,艾尔登法环,1,#7A674F,122,103,79,"122,103,79",44.8,16.8,77.1,5.41,1,1,2,4,A,是,#55432C,#A1907C,#F6F5F3,#38322A
tarnished-gilded,褪色者 · 黄金暗夜,Tarnished · Gilded Nightfall,褪色者,黄金暗夜,中性,艾尔登法环,2,#B18C35,177,140,53,"177,140,53",60.2,50.2,84.5,3.15,2,2,3,2,A,是,#876605,#DAB774,#F6F5F3,#38322A
tarnished-gilded,褪色者 · 黄金暗夜,Tarnished · Gilded Nightfall,褪色者,黄金暗夜,中性,艾尔登法环,3,#C7B68D,199,182,141,"199,182,141",74.5,23.1,90.6,2.0,3,3,4,1,A,是,#9E8E66,#F1E3C2,#F6F5F3,#38322A
tarnished-gilded,褪色者 · 黄金暗夜,Tarnished · Gilded Nightfall,褪色者,黄金暗夜,中性,艾尔登法环,4,#948E83,148,142,131,"148,142,131",59.2,6.7,88.1,3.25,4,5,5,3,A,是,#6E685D,#BEB9B0,#F6F5F3,#38322A
tarnished-gilded,褪色者 · 黄金暗夜,Tarnished · Gilded Nightfall,褪色者,黄金暗夜,中性,艾尔登法环,5,#4A4641,74,70,65,"74,70,65",30.0,3.7,79.8,9.36,5,6,6,5,A,是,#292520,#706C68,#F6F5F3,#38322A
tarnished-gilded,褪色者 · 黄金暗夜,Tarnished · Gilded Nightfall,褪色者,黄金暗夜,中性,艾尔登法环,6,#842317,132,35,23,"132,35,23",29.8,51.4,37.8,9.4,6,4,1,6,A,是,#520500,#A65545,#F6F5F3,#38322A
texas-inkgray,德克萨斯 · 冷墨灰,Texas · Cold Ink Gray,德克萨斯,冷墨灰,中性,明日方舟,1,#38475F,56,71,95,"56,71,95",29.8,16.1,273.3,9.4,1,1,3,6,B,是,#15263C,#626D81,#F4F5F7,#2F333B
texas-inkgray,德克萨斯 · 冷墨灰,Texas · Cold Ink Gray,德克萨斯,冷墨灰,中性,明日方舟,2,#7A5A4A,122,90,74,"122,90,74",41.1,18.0,53.0,6.2,2,5,1,5,B,是,#543728,#9F8376,#F4F5F7,#2F333B
texas-inkgray,德克萨斯 · 冷墨灰,Texas · Cold Ink Gray,德克萨斯,冷墨灰,中性,明日方舟,3,#60636A,96,99,106,"96,99,106",41.9,4.4,274.8,6.02,3,3,6,4,B,是,#3D4046,#898B91,#F4F5F7,#2F333B
texas-inkgray,德克萨斯 · 冷墨灰,Texas · Cold Ink Gray,德克萨斯,冷墨灰,中性,明日方舟,4,#5B7599,91,117,153,"91,117,153",48.6,22.5,270.5,4.72,4,6,2,3,B,是,#345173,#8B9EBC,#F4F5F7,#2F333B
texas-inkgray,德克萨斯 · 冷墨灰,Texas · Cold Ink Gray,德克萨斯,冷墨灰,中性,明日方舟,5,#8994A5,137,148,165,"137,148,165",61.0,10.3,268.4,3.07,5,2,5,2,B,是,#636E7E,#B6BFCD,#F4F5F7,#2F333B
texas-inkgray,德克萨斯 · 冷墨灰,Texas · Cold Ink Gray,德克萨斯,冷墨灰,中性,明日方舟,6,#B6B8BA,182,184,186,"182,184,186",74.7,1.3,255.7,1.99,6,4,4,1,B,是,#8E9092,#E3E4E6,#F4F5F7,#2F333B
hollowknight-pale,小骑士 · 骨白深渊,The Knight · Pale Abyss,小骑士,骨白深渊,中性,空洞骑士,1,#C5C0AD,197,192,173,"197,192,173",77.6,10.3,98.5,1.82,1,1,3,1,B,是,#9C9885,#F1EDDD,#F5F5F4,#34332D
hollowknight-pale,小骑士 · 骨白深渊,The Knight · Pale Abyss,小骑士,骨白深渊,中性,空洞骑士,2,#A09E98,160,158,152,"160,158,152",65.1,3.4,96.7,2.68,2,2,4,2,B,否,#797771,#CBC9C5,#F5F5F4,#34332D
hollowknight-pale,小骑士 · 骨白深渊,The Knight · Pale Abyss,小骑士,骨白深渊,中性,空洞骑士,3,#838171,131,129,113,"131,129,113",53.7,9.2,103.9,3.93,3,3,5,4,B,是,#5E5C4C,#ADAB9E,#F5F5F4,#34332D
hollowknight-pale,小骑士 · 骨白深渊,The Knight · Pale Abyss,小骑士,骨白深渊,中性,空洞骑士,4,#7B5E48,123,94,72,"123,94,72",42.3,19.2,63.3,5.94,4,6,1,5,B,是,#553B26,#A18775,#F5F5F4,#34332D
hollowknight-pale,小骑士 · 骨白深渊,The Knight · Pale Abyss,小骑士,骨白深渊,中性,空洞骑士,5,#414755,65,71,85,"65,71,85",30.1,9.2,276.7,9.3,5,4,6,6,B,是,#202633,#696D79,#F5F5F4,#34332D
hollowknight-pale,小骑士 · 骨白深渊,The Knight · Pale Abyss,小骑士,骨白深渊,中性,空洞骑士,6,#3D8BA7,61,139,167,"61,139,167",54.3,26.6,235.4,3.85,6,5,2,3,B,是,#006580,#7EB4CA,#F5F5F4,#34332D
mario-primary,马力欧 · 正红蓝,Mario · Primary Red & Blue,马力欧,正红蓝,撞色,超级马力欧,1,#DD5643,221,86,67,"221,86,67",54.5,64.3,36.6,3.83,1,1,1,3,A,是,#B02A20,#FD8D78,#FDF3F1,#502720
